 Produção Ambulatorial do SUS - São Paulo - por local de atendimento
Qtd.apresentada por Procedimento e Ano/mês atendimento
Período:Jul/2026
"Procedimento";"2026/Abr";"2026/Mai";"2026/Jun";"2026/Jul";"Total"
"0202080048 BACILOSCOPIA DIRETA P/ BAAR TUBERCULOSE (DIAGNOSTICA)";6;1669;263;6956;8894
"0202080056 BACILOSCOPIA DIRETA P/ BAAR (HANSENIASE)";8;62;116;900;1086
"0202080064 BACILOSCOPIA DIRETA P/ BAAR TUBERCULOS (CONTROLE)";-;74;69;3586;3729
"0202080072 BACTERIOSCOPIA (GRAM)";324;107;546;7982;8959
"0202080080 CULTURA DE BACTERIAS P/ IDENTIFICACAO";2965;1677;9821;187566;202029
"0202080099 CULTURA DO LEITE HUMANO (POS-PASTEURIZACAO)";-;275;27;10080;10382
"0202080102 CULTURA P/ HERPESVIRUS";-;-;-;5;5
"0202080110 CULTURA SOLIDA PARA MICOBACTERIAS";41;297;181;2133;2652
"0202080129 CULTURA PARA BACTERIAS ANAEROBICAS";-;217;847;4069;5133
"0202080137 CULTURA PARA IDENTIFICACAO MORFOLOGICA DE FUNGOS";1;155;521;1601;2278
"0202080145 EXAME MICROBIOLOGICO A FRESCO (DIRETO)";6;47;379;2404;2836
"0202080153 HEMOCULTURA";28;58;1638;35067;36791
"0202080161 IDENTIFICACAO AUTOMATIZADA DE MICRO-ORGANISMOS";45;55;50;5912;6062
"0202080170 PEQUISA DE PNEUMOCYSTI CARINI";1;1;18;58;78
"0202080196 PESQUISA DE ESTREPTOCOCOS BETA-HEMOLITICOS DO GRUPO A";123;169;374;4175;4841
"0202080200 PESQUISA DE HAEMOPHILUS DUCREY";-;-;-;77;77
"0202080218 PESQUISA DE HELICOBACTER PYLORI";-;261;507;6921;7689
"0202080226 PESQUISA DE LEPTOSPIRAS";-;-;1;13;14
"0202080234 EXAMES DIRETOS PARA PESQUISA DE TREPONEMA PALLIDUM";-;-;-;658;658
"0202080242 PROVA CONFIRMATORIA DA PRESENCA DE MICRO-ORGANISMOS COLIFORMES";-;-;-;944;944
"0202080250 EXAME MICOLOGICO DIRETO";-;-;15;32;47
"0202090019 ACIDO URICO NO LIQUIDO SINOVIAL E DERRAMES";-;-;-;599;599
"0202090027 ADENOGRAMA";-;-;-;14837;14837
"0202090035 CITOLOGIA P/ CLAMIDIA";-;-;4;28;32
"0202090043 CITOLOGIA P/ HERPESVIRUS";-;-;-;24;24
"0202090051 CONTAGEM ESPECIFICA DE CELULAS NO LIQUOR";2;34;174;1022;1232
"0202090060 CONTAGEM GLOBAL DE CELULAS NO LIQUOR";2;76;211;823;1112
"0202090078 DETERMINACAO DE FOSFOLIPIDIOS RELACAO LECITINA - ESFINGOMIELINA NO LIQUIDO AMNIOTICO";-;-;20;40;60
"0202090086 DOSAGEM DE CREATININA NO LIQUIDO AMNIOTICO";-;-;-;1096;1096
"0202090094 DOSAGEM DE FOSFATASE ALCALINA NO ESPERMA";-;-;-;6;6
"0202090108 DOSAGEM DE FRUTOSE";-;-;139;472;611
"0202090116 DOSAGEM DE FRUTOSE NO ESPERMA";-;-;-;1;1
"0202090124 DOSAGEM DE GLICOSE NO LIQUIDO SINOVIAL E DERRAMES";1;-;4;730;735
"0202090132 DOSAGEM DE PROTEINAS NO LIQUIDO SINOVIAL E DERRAMES";1;7;95;407;510
"0202090159 ELETROFORESE DE PROTEINAS C/ CONCENTRACAO NO LIQUOR";-;51;124;653;828
"0202090175 ESPLENOGRAMA";-;-;-;8;8
"0202090183 EXAME DE CARACTERES FISICOS CONTAGEM GLOBAL E ESPECIFICA DE CELULAS";-;-;37;1064;1101
"0202090191 MIELOGRAMA";20;52;116;15476;15664
"0202090213 PESQUISA DE ANTICORPOS ANTIESPERMATOZOIDES ( ELISA )";1;3;129;1176;1309
"0202090221 DOSAGEM DE FOSFATASE ACIDA NO ESPERMA";-;-;-;90;90
"0202090230 PESQUISA DE CARACTERES FISICOS NO LIQUOR";-;-;48;1804;1852
"0202090256 PESQUISA DE CRISTAIS C/ LUZ POLARIZADA";-;-;2;41;43
"0202090264 ESPERMOGRAMA";-;13;51;708;772
"0202090272 PESQUISA DE RAGOCITOS NO LIQUIDO SINOVIAL E DERRAMES";-;-;-;9;9
"0202090280 PROVA DE PROGRESSAO ESPERMATICA (CADA)";-;-;-;121;121
"0202090299 PROVA DO LATEX P/ HAEMOPHILLUS INFLUENZAE, STREPTOCOCCUS PNEUMONIAE, NEISSERIA MENINGITIDIS (SOROTIP";-;-;5;788;793
"0202090302 PROVA DO LATEX P/ PESQUISA DO FATOR REUMATOIDE";-;101;334;2762;3197
"0202090310 REACAO DE PANDY";-;-;-;7;7
"0202090329 REACAO DE RIVALTA NO LIQUIDO SINOVIAL E DERRAMES";-;-;-;14;14
"0202090361 TESTE MOLECULAR PARA A DETECCAO DO COMPLEXO MYCOBACTERIUM TUBERCULOSIS";-;4;3;11727;11734
"0202100014 DETERMINACAO DE CARIOTIPO EM CULTURA DE LONGA DURACAO (C/ TECNICA DE BANDAS)";1;-;39;66;106
"0202100022 DETERMINACAO DE CARIOTIPO EM MEDULA OSSEA E VILOSIDADES CORIONICAS (C/ TECNICA DE BANDAS)";14;55;34;247;350
"0202100030 DETERMINACAO DE CARIOTIPO EM SANGUE PERIFERICO (C/ TECNICA DE BANDAS)";4;17;42;309;372
"0202100049 QUANTIFICACAO/AMPLIFICACAO DO HER-2";15;2;-;89;106
"0202100073 ANALISE DE DNA POR MLPA";-;-;-;1;1
"0202100081 IDENTIFICACAO DE MUTACAO/REARRANJOS POR PCR, PCR SENSIVEL A METILACAO, qPCR E qPCR SENSIVEL A";-;-;-;4;4
"0202100103 IDENTIFICACAO DE ALTERACAO CROMOSSONICA SUBMICROSCOPICA POR ARRAY-CGH";-;-;4;4;8
"0202100111 IDENTIFICACAO DE MUTACAO POR SEQUENCIAMENTO POR AMPLICON ATE 500 PARES DE BASES";-;1;-;5;6
"0202100146 DOSAGEM QUANTITATIVA DE CARNITINA, PERFIL DE ACILCARNITINAS";-;-;-;1;1
"0202100154 DOSAGEM QUANTITATIVA DE AMINOACIDOS";-;-;-;1;1
"0202100219 DIAGNOSTICO DE LEUCEMIA CROMOSSOMA PHILADELPHIA POSITIVO POR TECNICA MOLECULAR";6;16;14;102;138
"0202100227 REAVALIACAO DIAGNOSTICA DE LEUCEMIA CROMOSSOMA PHILADELPHIA POSITIVO POR TECNICA MOLECULAR";20;49;16;226;311
"0202100235 PESQUISA DE MUTACAO DO GENE DA PROTROMBINA";-;-;2;71;73
"0202100243 TESTE CITOGENETICO POR HIBRIDIZACAO IN SITU POR FLUORESCENCIA (FISH) PARA MIELOMA MULTIPLO";-;1;-;-;1
"0202100251 EXAME MOLECULAR DE DETECCAO DE HPV";-;-;4;85;89
