 Produção Ambulatorial do SUS - São Paulo - por local de atendimento
Qtd.apresentada por Procedimento e Ano/mês atendimento
Período:Jul/2026
"Procedimento";"2026/Abr";"2026/Mai";"2026/Jun";"2026/Jul";"Total"
"0211070092 AVALIACAO P/ DIAGNOSTICO DE DEFICIENCIA AUDITIVA";3;4;37;2872;2916
"0211070106 AVALIACAO P/ DIAGNOSTICO DIFERENCIAL DE DEFICIENCIA AUDITIVA";-;-;14;357;371
"0211070114 AVALIACAO VOCAL";-;6;106;3343;3455
"0211070122 ELETROCOCLEOGRAFIA";-;-;1;-;1
"0211070149 EMISSOES OTOACUSTICAS EVOCADAS PARA TRIAGEM AUDITIVA (TESTE DA ORELHINHA)";-;-;123;4784;4907
"0211070157 ESTUDO DE EMISSOES OTOACUSTICAS EVOCADAS TRANSITORIAS E PRODUTOS DE DISTORCAO (EOA)";-;14;95;1524;1633
"0211070165 ESTUDO TOPODIAGNOSTICO DA PARALISIA FACIAL";-;-;229;921;1150
"0211070173 EXAME DE ORGANIZACAO PERCEPTIVA";-;22;264;1934;2220
"0211070181 EXAME NEUROPSICOMOTOR EVOLUTIVO";-;-;318;1378;1696
"0211070203 IMITANCIOMETRIA";106;332;1360;15954;17752
"0211070211 LOGOAUDIOMETRIA (LDV-IRF-LRF)";107;338;1388;18663;20496
"0211070220 OLFATOMETRIA";-;-;-;145;145
"0211070246 PESQUISA DE GANHO DE INSERCAO";102;179;163;3057;3501
"0211070254 PESQUISA DE PARES CRANIANOS";-;-;285;2314;2599
"0211070262 POTENCIAL EVOCADO AUDITIVO DE CURTA MEDIA E LONGA LATENCIA";-;58;152;798;1008
"0211070270 POTENCIAL EVOCADO AUDITIVO PARA TRIAGEM AUDITIVA (TESTE DA ORELHINHA)";-;-;4;553;557
"0211070289 PROVA DE FUNCAO TUBARIA";-;-;16;9;25
"0211070297 REAVALIACAO DIAGNOSTICA DE DEFICIENCIA AUDITIVA EM PACIENTE MAIOR DE 3 ANOS";5;6;46;1032;1089
"0211070300 REAVALIACAO DIAGNOSTICA DE DEFICIENCIA AUDITIVA EM PACIENTE MENOR DE 3 ANOS";-;-;1;39;40
"0211070319 SELECAO E VERIFICACAO DE BENEFICIO DO AASI";8;8;159;3323;3498
"0211070327 TESTES ACUMETRICOS (DIAPASAO)";-;-;119;1288;1407
"0211070335 TESTES AUDITIVOS SUPRALIMINARES";-;-;18;160;178
"0211070343 TESTES DE PROCESSAMENTO AUDITIVO";-;11;121;588;720
"0211070351 TESTES VESTIBULARES / OTONEUROLOGICOS";-;6;98;903;1007
"0211070360 TRIAGEM AUDITIVA DE ESCOLARES";-;-;-;8;8
"0211070378 AVALIACAO E SELECAO PRE-CIRURGICA PARA IMPLANTE COCLEAR";-;-;10;33;43
"0211070386 MAPEAMENTO E BALANCEAMENTO DOS ELETRODOS";146;84;41;205;476
"0211070394 POTENCIAL EVOCADO ELETRICAMENTE NO SISTEMA AUDITIVO";101;59;-;37;197
"0211070408 REFLEXO ESTAPEDIANO ELICIADO ELETRICAMENTE";101;59;-;33;193
"0211070416 AVALIACAO E SELECAO PRE-CIRURGICA PARA PROTESE AUDITIVA ANCORADA NO OSSO";-;1;1;-;2
"0211070424 EMISSOES OTOACUSTICAS EVOCADAS PARA TRIAGEM AUDITIVA (TESTE DA ORELHINHA/RETESTE)";5;-;3;222;230
"0211070432 POTENCIAL EVOCADO AUDITIVO P/ TRIAGEM AUDITIVA (TESTE DA ORELHINHA/RETESTE)";-;-;-;62;62
"0211080012 ESPIROGRAFIA C/ DETERMINACAO DO VOLUME RESIDUAL";-;-;16;431;447
"0211080020 GASOMETRIA";29;1;118;508;656
"0211080047 GASOMETRIA (APOS OXIGENIO A 100 DURANTE A DIFUSAO ALVEOLO-CAPILAR)";-;-;-;4;4
"0211080055 ESPIROMETRIA OU PROVA DE FUNCAO PULMONAR COMPLETA COM BRONCODILATADOR";-;236;754;13817;14807
"0211080063 PROVA DE FUNCAO PULMONAR SIMPLES";-;6;132;1964;2102
"0211080071 PROVA FARMACODINAMICA";-;-;-;279;279
"0211080080 TESTE DA CAMINHADA DE 6 MINUTOS";-;8;19;188;215
"0211090018 AVALIACAO URODINAMICA COMPLETA";-;38;119;2648;2805
"0211090026 CATETERISMO DE URETRA";8;-;9;435;452
"0211090034 CISTOMETRIA C/ CISTOMETRO";-;-;-;15;15
"0211090042 CISTOMETRIA SIMPLES";-;-;9;133;142
"0211090050 DETERMINACAO DE PRESSAO INTRA-ABDOMINAL";-;-;-;128;128
"0211090069 PERFIL DE PRESSAO URETRAL";-;-;-;128;128
"0211090077 UROFLUXOMETRIA";-;2;144;1331;1477
"0211100013 APLICACAO DE TESTE P/ PSICODIAGNOSTICO";-;2;84;1694;1780
